,Name,RAM,Internal storage,Display,Rear Camera,Front Camera,Battery,Processor,Price
214,Samsung Galaxy A31 (Prism Crush Black),6 GB , 128 GB ,16.26 ,48MP + 8MP + 5MP + 5MP , 20,5000 ,MediaTek (MT6768) Octa Core Processor," 17,999"
215,Vivo Y91i (Ocean Blue),2 GB , 32 GB ,15.8 ,13MP Rear Camera , 5,4030 ,MTK Helio P22 Processor," 7,990"
216,Mi 10T (Cosmic Black),8 GB , 128 GB ,16.94 ,64MP Rear Camera , 20,5000 ,Qualcomm Snapdragon 865 Processor," 34,999"
217,Samsung Galaxy M11 (Black),4 GB , 64 GB ,16.26 ,13MP + 5MP + 2MP , 8,5000 ,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor," 12,959"
218,OPPO F17 Pro (Matte Black),8 GB , 128 GB ,16.33 ,48MP + 8MP + 2MP + 2MP , 16,4015 ,MediaTek Helio P95 Processor," 21,490"
219,Samsung Galaxy A31 (Prism Crush Blue),6 GB , 128 GB ,16.26 ,48MP + 8MP + 5MP + 5MP , 20,5000 ,MediaTek (MT6768) Octa Core Processor," 17,999"
220,OPPO F17 Pro (Magic Blue),8 GB , 128 GB ,16.33 ,48MP + 8MP + 2MP + 2MP , 16,4015 ,MediaTek Helio P95 Processor," 21,490"
221,Realme X3 (Glacier Blue),8 GB , 128 GB ,16.69 ,64MP + 12MP + 8MP + 2MP , 16,4200 ,Qualcomm Snapdragon 855+ Processor," 22,999"
222,Vivo V20 Pro (Sunset Melody),8 GB , 128 GB ,16.36 ,64MP + 8MP + 2MP , 44,4000 ,Qualcomm Snapdragon 765G Processor," 29,990"
223,OPPO A53 (Electric Black),6 GB , 128 GB ,16.51 ,13MP + 2MP + 2MP , 16,5000 ,Qualcomm Snapdragon 460 Processor," 15,490"
224,Redmi 8A Dual (Sea Blue),2 GB , 32 GB ,15.8 ,13MP + 2MP , 8,5000 ,Qualcomm Snapdragon 439 Processor," 6,999"
225,Realme X3 SuperZoom (Arctic White),12 GB , 256 GB ,16.69 ,64MP + 8MP + 8MP + 2MP , 32,4200 ,Qualcomm Snapdragon 855+ Processor," 28,999"
226,Samsung M01 core (Blue),1 GB , 16 GB ,13.46 ,8MP Rear Camera , 5,3000 ,MediaTek | MT6739WW quad core  Processor," 5,382"
227,Redmi 8A Dual (Sea Blue),3 GB , 64 GB ,15.8 ,13MP + 2MP , 8,5000 ,Qualcomm Snapdragon 439 Processor," 8,419"
228,Samsung M31s (Mirage Blue),8 GB , 128 GB ,16.51 ,64MP + 12MP , 32,6000 ,Exynos 9611 octa core processor Processor," 22,289"
229,Vivo Y91i (Fusion Black),2 GB , 32 GB ,15.8 ,13MP Rear Camera , 5,4030 ,MTK Helio P22 Processor," 7,990"
230,Tecno Camon 15 (Fascinating Purple),4 GB , 64 GB ,16.64 ,48MP + 2MP + 2MP + QVGA Rear Camera , 16,5000 ,Helio P22 MT6762 Processor," 9,999"
231,OPPO A1K (Black),2 GB , 32 GB ,15.49 ,8MP Rear Camera , 5,4000 ,MediaTek Helio P22 Processor," 7,990"
232,POCO X2 (Phoenix Red),6 GB , 64 GB ,16.94 ,64MP + 8MP + 2MP + 2MP , 20,4500 ,Qualcomm Snapdragon 730G Processor," 14,999"
233,Honor 9S (Black),2 GB , 32 GB ,13.84 ,8MP Rear Camera , 5,3020 ,MediaTek Helio P22 (MT6762R) Octa Core Processor," 5,999"
234,Realme 6 Pro (Lightning Red),8 GB , 128 GB ,16.76 ,64MP + 12MP + 8MP + 2MP , 16,4300 ,Snapdragon 720G Processor," 17,999"
